
Boahji	pole-star
Duiska	Duiskâ-riiˈkâ: Germany
Dánmárku	Denmark
Dávggát	Ursa major (Charles's Wain)
Dáža	Norway
Ipmilaš	Ibmelâǯˈǯâm: Good God
Jullá	nickname of a person
Norga	Norway
Oaggut	the three stars in Orion's belt
Ruošša	Russia
Ruoŧŧa	Sweden
Suopma	Finland
Troanddin	Trondheim; formerly: the house of correction in Trondheim
addes	generous
addi	generous
addi	giving; giver
addilit	give hastily; please give
addálas	(too) fond of giving away; immoral (of women); inclined to go about from farm to farm
addámuš	having to give; that which is to be given
adni	who or which consumes much
adveanta	Advent
ageanta	agent
agibeaimuitu	a lifelong memory
agibeaisuola	incorrigible thief
agibeaivašši	inextinguishable hatred
agáiduvvat	attain a great age
agálašvuohta	eternity
ahccil	quick and efficient at work; quickly done
ahccilit	quickly and efficiently
ahccát	begin to rise (of flowing tide)
ahcilit	rise etc. quickly
ahkahaš	of a certain age (= âkkasâš)
ahkiduššat	be bored; long
ahkkái	lasting
ahkáduvvat	be very long in a place
ahkásaš	of a certain age
ahkásii	for life; for ever
ahtanuššat	increase; become fatter
aigedit	contin. of âiˈgit
ain	noch; gerade; wenigstens; desto; immer; auf einmal; bald - bald
aivvefal	simply and solely
aivvestassii	exactly
akšuvdna	auction
alas	fat on the loins and thighs of a well-fed reindeer
albbas	lynx
albmadit	report to the public authorities
albmeassi	the vault of heaven
albmohaga	in the sight of every one
albmulaš	real person (as opposed to subterranean and other folk-tale beings)
albmáimannan	ascension (to heaven)
alddastit	sew on the âldâs of a Lapp shoe
alddiineaset	themselves (in.-el. plur. 3rd pers.)
aldna	gum
ales	interj. expressing astonishment or contempt
alesgahcin	a small backward pointing tine on a reindeer antler at the point where the antler bends forward
alihastit	be blue
alimahtes	placed on the hips (= âlemâs)
alimas	placed on the hips
alimus	superlative form of âllâg
alit	blue
alitkreakta	Campanula (harebell)
alitrássi	Geranium silvaticum (crane's-bill)
allaagat	aged
alladávttat	with large protruding bones (of domestic animals)
alladávttálaš	with large protruding bones (of domestic animals) (= âllâ-dāvtâg)
allamielalašvuohta	haughtiness
allanálat	of noble birth
allat	high; illustrious; high (of sound)
allaáiti	store-house with a high gable
allin	high (adv.); from high up
allodat	height (of a thing)
allosaš	of a certain height
alludit	caus. of âllot
allánastit	get a little higher
almmaš	term applied to a person for whom one feels sympathy
almmenáhkki	almanac
almmiravda	horizon
almmiriika	heaven
almmivierca	Gallinago gallinago (common snipe) (= mækkastâk)
almmustaga	in the sight of all; in the hearing of all
almmustahttit	reveal; expose
almmustus	revelation (relig.); exposure
almmá	without
almmálaš	heavenly
altteson	if only
alvosit	terribly
aládas	substructure by means of which something is raised higher; piece added on
alás	(going) high up
ama	nearly
aman	supine of the neg. verb
amas	Supinum des Negationsverbs
aniheapmi	allowing to use
anistuddat	(several times) hint that one wishes for something
anistupmi	desire
annes	before an infinitive to express inquisitiveness or excitement
anáraš	Enare Lapp
apostal	apostle
apostovllalaš	apostolic
arahat	one whom nothing can stop
artihkal	article of faith
arve	Regen
arvedálki	rain
arvedávgi	rainbow
arveoakti	shower
arvilit	rain (of a single shower which does not last long)
arvilit	undauntedly
arvit	rain
arvvestit	rain a little
arvvestuvvat	be every sign that rain is coming
arvvistit	rain hard
arvvuhuvvat	become feeble
arvváskit	become rainy
arvái	rainy
arváladdat	rain heavily several times; rain once heavily and long
arvát	begin to rain
asehaččat	thinly
asehaš	thin; thin and lean; a little weak in the head
asehašvuohta	thinness
aseheapme	thin; thin and lean; a little weak in the head (= âsĕtâš)
aseheapmi	very bad on the fleshy side (of skins and furs)
asehisvuohta	thinness
asehuddat	show one's stupidity
asehuvvat	become thin; become thin and lean; become stupid
asehuššat	appear rather stupid
asehuššat	consider (too) thin
asibealli	fleshy side (as opp. to side where the hair is)
askkádat	not very prominent âsˈke in landscape
assebealli	half the thickness of the skin; only used of (reindeer) skin which has been damaged in dressing it
assi	back of skins or furs; the skin as distinct from the hair on it; the outer layer of flesh
assodat	thickness (of flat things)
assudit	make something thick
assáduvvat	be silently angry
assái	thick (of flat things)
assájit	thickly
asttáhat	a piece of wood with which one hangs a coffee-kettle over the fire
astu	leisure
asálaš	thick and of good quality (of skins and furs etc.)
asásmit	become thicker (of flat objects)
asášit	consider (too) thick
atnemeahttun	useless; who or which consumes nothing or little
atnubiktasat	everyday clothes; clothes which can still be used
atnáladdat	make frequent (and intense) use of
attašit	give away little by little; hit hard; quarrel; abuse; give a dressing-down; work hard at doing something
attestit	give a little; please give
atteš	(too) fond of giving
atti	imper. 2nd p. sg. of âdˈdet; Ibmĕl âdde: God grant
attáldat	gift
attás	as a gift
avastit	eat up
avohas	(ornamental) strap on the back of a driving-reindeer
azistit	rise slightly (the sea at the turn of tide)
ađahuvvat	become thin (of domestic animals)
ađđamahttá	without marrow; very lean
aškkas	rough sheet of ice
aškkastit	freeze into a rough sheet of ice
aškkastuvvat	become covered with a rough sheet of ice
badjeliiluohtehahtti	reliable
badjesápmelaš	Mountain Lapp
badjosat	high ground
badjálaga	above each other; (too) close together
badjálas	which are very close together; which follow very close after each other
badni	very fond of spinning; good at spinning
badni	who spins; spinner
bagaldat	tying thread or a bit of rag round a ring which is too large
bahkkestit	dimin. of bâkˈkit
bahodat	malice
bahtaruosku	the portion of entrails and genitals which remains adhering to thighs when an animal is slaughtered; the skin on the inner side of both thighs from bâttâ-raiˈge to čoavˈjĕ-vuollĕ
bahtaruošku	the hindmost of the sticks used to stretch a skin
bahtilit	subit. of bâttet
bahtit	go to a lonely place in order to calve (of female reindeer or cow)
bahttát	start off to find a lonely place in order to calve there (of female reindeer or cow)
bahtálas	liable to bâttet
bahánihkkán	ill-bred and unmanageable; impossible to discipline
bahčagit	become bitter
bahčavuohta	bitterness
bahčašit	consider bitter
bahčilit	subit. of bâččet
bahčámuš	having to press out etc.; which one can press out etc.
baikabava	constipation (of an animal)
baikanaga	in a soiled state
baikkestuvvat	feel one must bâiˈket
bajádaddat	freq. of bâjedit
baján	thunder
bajándávgi	rainbow
bajásráhkadus	something (or anything) edifying
bajásčuožžileapmi	resurrection
bajásčuožžilit	rise (from the dead)
bajásšaddat	grow up
balahit	make (someone) fear; (trans.) be anxious about someone or something
baldalit	frighten several; frighten several times (or of several subj. separately)
balddonas	object of fear
balddáhallat	pretend to frighten
baldui	broken up into ice-floes
baleš	timid
ballalas	timid
ballamuš	something (anything) to fear
ballevaš	timid
ballu	fear
ballástit	suddenly become (a little) afraid
balsa	big tussock; hillock in a bog
baluheapme	fearless
baluhuvvat	become fearless
balva	cloud
banistit	spin a little
bardilit	subit. of bârˈdet
bardáladdat	vigorously and zealously bârˈdet
barffagit	get to look like a bârˈfe
barggeš	hard-working (= bârgan)
barggoš	hardworking (= bârgan)
barggán	hard-working
barta	Finnish living-room; room in general
basadit	wash (oneself)
basašit	be roasting something on a spit at one's leisure
basiheapme	which has no (or few) holy-days
baskkot	fine-meshed net or seine net
bassat	wash
bassenmuorra	spit
bassot	shorter passive of bâssât
bastilislátnjá	thorn(-bush) (Bibl.)
bastilit	sharply
basttehuvvat	become blunt
basttes	material for making a spoon
basttoheapme	blunt
bastásit	cut or stick into (intr.)
basášit	find that Sunday (or a holy-day) prevents one from
batnit	spin; purr
batnáladdat	spin several times; spin very energetically
bađaldat	hinder part of an animal's skin
bađuš	tail (of bird)
bažestit	milk just a little; give very little milk
bažihahtti	worth pressing out etc. or milking
beadjut	shine white
